date,open,high,low,close,volume,middle_band,upper_1σ,lower_1σ,upper_2σ,lower_2σ,upper_3σ,lower_3σ
2025-10-02 09:30:00-04:00,189.63,190.77,189.53,190.74,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:32:00-04:00,190.74,190.87,189.98,190.07,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:34:00-04:00,190.07,190.96,189.88,190.93,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:36:00-04:00,190.93,191.05,189.74,189.92,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:38:00-04:00,189.92,189.95,189.15,189.69,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:40:00-04:00,189.69,189.72,188.74,188.85,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:42:00-04:00,188.85,189.22,188.7,188.84,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:44:00-04:00,188.84,188.99,188.56,188.9,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:46:00-04:00,188.9,189.41,188.76,189.3,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:48:00-04:00,189.3,189.45,188.72,188.8,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:50:00-04:00,188.8,188.95,188.38,188.54,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:52:00-04:00,188.54,188.8,188.4,188.58,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:54:00-04:00,188.58,189.08,188.5,188.52,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:56:00-04:00,188.52,188.6,188.26,188.54,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 09:58:00-04:00,188.54,189.29,188.53,189.29,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 10:00:00-04:00,189.29,189.3,189.03,189.22,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 10:02:00-04:00,189.22,189.55,189.07,189.47,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 10:04:00-04:00,189.47,189.92,189.47,189.81,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 10:06:00-04:00,189.81,190.05,189.55,189.94,-1.0,nan,nan,nan,nan,nan,nan,nan
2025-10-02 10:08:00-04:00,189.94,190.11,189.81,190.08,-1.0,189.4015,190.1111990559385,188.6918009440615,190.1111990559385,188.6918009440615,190.1111990559385,188.6918009440615
2025-10-02 10:10:00-04:00,190.08,190.24,189.5,189.55,-1.0,189.34199999999998,189.9836042393875,188.70039576061248,189.9836042393875,188.70039576061248,189.9836042393875,188.70039576061248
2025-10-02 10:12:00-04:00,189.55,190.02,189.46,189.92,-1.0,189.3345,189.96838070644245,188.70061929355754,189.96838070644245,188.70061929355754,189.96838070644245,188.70061929355754
2025-10-02 10:14:00-04:00,189.92,190.07,189.72,190.04,-1.0,189.29000000000002,189.83537143306194,188.7446285669381,189.83537143306194,188.7446285669381,189.83537143306194,188.7446285669381
2025-10-02 10:16:00-04:00,190.04,190.34,190.0,190.22,-1.0,189.305,189.87121992193846,188.73878007806155,189.87121992193846,188.73878007806155,189.87121992193846,188.73878007806155
2025-10-02 10:18:00-04:00,190.22,190.44,190.06,190.07,-1.0,189.324,189.90888802347118,188.73911197652885,189.90888802347118,188.73911197652885,189.90888802347118,188.73911197652885
2025-10-02 10:20:00-04:00,190.07,190.34,189.86,190.17,-1.0,189.39000000000001,189.99190530816733,188.7880946918327,189.99190530816733,188.7880946918327,189.99190530816733,188.7880946918327
2025-10-02 10:22:00-04:00,190.17,190.44,190.02,190.28,-1.0,189.46200000000002,190.0797264766869,188.84427352331315,190.0797264766869,188.84427352331315,190.0797264766869,188.84427352331315
2025-10-02 10:24:00-04:00,190.28,190.42,190.03,190.05,-1.0,189.5195,190.13575867133855,188.90324132866144,190.13575867133855,188.90324132866144,190.13575867133855,188.90324132866144
2025-10-02 10:26:00-04:00,190.05,190.3,190.02,190.25,-1.0,189.567,190.2008698604603,188.9331301395397,190.2008698604603,188.9331301395397,190.2008698604603,188.9331301395397
